ticker,cnpj_emissor,tipo,obervacao
ALAR14,23438929000100,Debênture,
CONX12,,Debênture,
CASN34,82508433000117,Debênture,
CASN24,82508433000117,Debênture,
ERDVC4,08873873000110,Debênture,
ENAT33,11669021000110,Debênture,
IGSS11,08159965000133,Debênture,
IGSS21,08159965000133,Debênture,
IVIAA0,,Debênture,
AEGE17,08827501000158,Debênture,
AEGPB5,08827501000158,Debênture,
RSAN26,92802784000190,Debênture,
BTEL13,,Debênture,Fechada
BTEL33,,Debênture,Fechada
CLTM14,,Debênture,Fechada
COMR15,,Debênture,Fechada
HGLB13,,Debênture,Fechada
HGLB23,,Debênture,Fechada
HVSP11,,Debênture,Fechada
IRJS15,,Debênture,Fechada
ISPE12,,Debênture,Fechada
ORIG12,,Debênture,Fechada
QMCT14,,Debênture,Fechada
RALM11,,Debênture,Fechada
RGRA11,,Debênture,Fechada
RIS422,,Debênture,Fechada
RISP22,,Debênture,Fechada
RMSA12,,Debênture,Fechada
SABP12,,Debênture,Fechada
SGAB11,,Debênture,Fechada
SVEA16,,Debênture,Fechada
UNEG11,,Debênture,Fechada
CJEN13,,Debênture,Fechada
BRKP28,,Debênture,Fechada
SCPT13,,Debênture,Fechada
CCIA23,,Debênture,Fechada
